Bosnia and Herzegovina   cases: 420    	 total deaths: 13    	First case: Mar 04 
French Guiana            cases: 43     	 total deaths:       	First case: Mar 06 
Uganda                   cases: 44     	 total deaths:       	First case: Mar 20 
Iran                     cases: 44,605 	 total deaths: 2,898 	First case: Feb 18 
Lebanon                  cases: 463    	 total deaths: 12    	First case: Feb 20 
Hungary                  cases: 492    	 total deaths: 16    	First case: Mar 03 
Nepal                    cases: 5      	 total deaths:       	First case: Jan 23 
Fiji                     cases: 5      	 total deaths:       	First case: Mar 18 
Montserrat               cases: 5      	 total deaths:       	First case: Mar 17 
Somalia                  cases: 5      	 total deaths:       	First case: Mar 15 
Turks and Caicos         cases: 5      	 total deaths:       	First case: Mar 22 
Israel                   cases: 5,358  	 total deaths: 20    	First case: Feb 20 
Brazil                   cases: 5,717  	 total deaths: 201   	First case: Feb 24 
Bangladesh               cases: 51     	 total deaths: 5     	First case: Mar 07 
Monaco                   cases: 52     	 total deaths: 1     	First case: Feb 27 
France                   cases: 52,128 	 total deaths: 3,523 	First case: Jan 23 
Armenia                  cases: 532    	 total deaths: 3     	First case: Feb 29 
Lithuania                cases: 537    	 total deaths: 8     	First case: Feb 27 
Aruba                    cases: 55     	 total deaths:       	First case: Mar 12 
Bahrain                  cases: 567    	 total deaths: 4     	First case: Feb 23 
Madagascar               cases: 57     	 total deaths:       	First case: Mar 19 
Kenya                    cases: 59     	 total deaths: 1     	First case: Mar 12 
Cabo Verde               cases: 6      	 total deaths: 1     	First case: Mar 19 
Mauritania               cases: 6      	 total deaths: 1     	First case: Mar 12 
Vatican City             cases: 6      	 total deaths:       	First case: Mar 05 
St. Barth                cases: 6      	 total deaths:       	First case: Feb 29 
Sint Maarten             cases: 6      	 total deaths:       	First case: Mar 17 
Isle of Man              cases: 60     	 total deaths:       	First case: Mar 18 
Morocco                  cases: 602    	 total deaths: 36    	First case: Mar 01 
Ukraine                  cases: 645    	 total deaths: 17    	First case: Mar 02 
New Zealand              cases: 647    	 total deaths: 1     	First case: Feb 27 
Paraguay                 cases: 65     	 total deaths: 3     	First case: Mar 06 
UAE                      cases: 664    	 total deaths: 6     	First case: Jan 28 
Liechtenstein            cases: 68     	 total deaths:       	First case:  Mar 02 
Gibraltar                cases: 69     	 total deaths:       	First case: Mar 02 
Iraq                     cases: 694    	 total deaths: 50    	First case: Feb 21 
Angola                   cases: 7      	 total deaths: 2     	First case: Mar 19 
Sudan                    cases: 7      	 total deaths: 2     	First case: Mar 12 
Antigua and Barbuda      cases: 7      	 total deaths:       	First case: Mar 12 
Chad                     cases: 7      	 total deaths:       	First case: Mar 18 
Portugal                 cases: 7,443  	 total deaths: 160   	First case: Mar 01 
Germany                  cases: 71,690 	 total deaths: 774   	First case: Jan 26 
Egypt                    cases: 710    	 total deaths: 46    	First case: Feb 13 
Diamond Princess         cases: 712    	 total deaths: 10    	First case: Feb 04 
Hong Kong                cases: 714    	 total deaths: 4     	First case: Jan 22 
Algeria                  cases: 716    	 total deaths: 44    	First case: Feb 24 
Estonia                  cases: 745    	 total deaths: 4     	First case: Feb 26 
Rwanda                   cases: 75     	 total deaths:       	First case: Mar 13 
Qatar                    cases: 781    	 total deaths: 2     	First case: Feb 28 
Zimbabwe                 cases: 8      	 total deaths: 1     	First case: Mar 19 
Guinea-Bissau            cases: 8      	 total deaths:       	First case: Mar 24 
Libya                    cases: 8      	 total deaths:       	First case: Mar 23 
Mozambique               cases: 8      	 total deaths:       	First case: Mar 21 
Saint Kitts and Nevis    cases: 8      	 total deaths:       	First case: Mar 24 
Suriname                 cases: 8      	 total deaths:       	First case: Mar 12 
Canada                   cases: 8,505  	 total deaths: 95    	First case: Jan 24 
Slovenia                 cases: 802    	 total deaths: 15    	First case: Mar 03 
China                    cases: 81,518 	 total deaths: 3,305 	First case: Jan 10 
Croatia                  cases: 867    	 total deaths: 6     	First case: Feb 24 
Trinidad and Tobago      cases: 87     	 total deaths: 3     	First case: Mar 11 
Benin                    cases: 9      	 total deaths:       	First case: Mar 15 
Grenada                  cases: 9      	 total deaths:       	First case: Mar 21  
Laos                     cases: 9      	 total deaths:       	First case: Mar 23 
Saint Lucia              cases: 9      	 total deaths:       	First case: Mar 12 
Eswatini                 cases: 9      	 total deaths:       	First case: Mar 13 
S. Korea                 cases: 9,786  	 total deaths: 162   	First case: Jan 19 
Serbia                   cases: 900    	 total deaths: 23    	First case: Mar 05 
Colombia                 cases: 906    	 total deaths: 16    	First case: Mar 05 
Singapore                cases: 926    	 total deaths: 3     	First case: Jan 22 
Mayotte                  cases: 94     	 total deaths: 1     	First case: Mar 13 
Spain                    cases: 95,923 	 total deaths: 8,464 	First case: Jan 30 
Argentina                cases: 966    	 total deaths: 26    	First case: Mar 02 
DRC                      cases: 98     	 total deaths: 8     	First case: Mar 09 
